election_year,state_name,constituency_name,constituency_type,party_name,short_form,candidate_name,EVM_votes,postal_votes,total_votes,rank
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Independent,Indep,RANJITH KUMAR PALAKA,6000,47,6047,11
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Telugu Rajadhikara Samiti Party,TRSP,RAMBABU JALLI,4933,26,4959,13
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Independent,Indep,MANDALA GIRIDHARA RAO,4931,36,4967,12
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,India Praja Bandhu Party,IPBP,VUYAKA NIREEKSHAN (V. CHENCHU),4500,42,4542,14
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,None of the Above,NOTA,NOTA,50205,265,50470,4
2024,Jharkhand,Giridih,General,AJSU Party,,CHANDRA PRAKASH CHOUDHARY,447896,3243,451139,1
2024,Andhra Pradesh,Srikakulam,General,Yuvajana Sramika Rythu Congress Party,YSRCP,TILAK PERADA,420394,6033,426427,2
2024,Andhra Pradesh,Srikakulam,General,Indian National Congress,INC,PEDADA PARAMESWARA RAO,6724,448,7172,4
2024,Andhra Pradesh,Srikakulam,General,Independent,Indep,SANAPALA SRAVAN KUMAR,5950,8,5958,5
2024,Andhra Pradesh,Srikakulam,General,Bahujan Samaj Party,BSP,NAIDUGARI RAJASEKHAR,4661,81,4742,6
2024,Andhra Pradesh,Srikakulam,General,Independent,Indep,VABA YOGESWARA RAO,3472,126,3598,7
2024,Andhra Pradesh,Srikakulam,General,Independent,Indep,BETHA VIVEKANANDA MAHARAJ,2523,13,2536,8
2024,Andhra Pradesh,Srikakulam,General,Independent,Indep,YEDDU LAKSHMINARAYANA,1598,7,1605,9
2024,Andhra Pradesh,Srikakulam,General,Bharatha Chaitanya Yuvajana Party,BCYP,BORUBADRA CHANDRAKALA,1315,42,1357,10
2024,Andhra Pradesh,Srikakulam,General,Jai Bharat National Party,JBNP,IPPILI SEETHARAJU,1080,50,1130,11
2024,Andhra Pradesh,Srikakulam,General,Navarang Congress Party,NCP,KAYA DURGARAO,811,7,818,12
2024,Andhra Pradesh,Srikakulam,General,Independent,Indep,CHELLURI DANIYAL,796,20,816,13
2024,Andhra Pradesh,Srikakulam,General,Pyramid Party of India,PPI,BOMMALI TIRUPATI RAO,589,5,594,14
2024,Andhra Pradesh,Srikakulam,General,None of the Above,NOTA,NOTA,24498,107,24605,3
2024,Odisha,Keonjhar,Scheduled Tribe,AJSU Party,,PITABASA NAIK,2141,3,2144,12
2024,Andhra Pradesh,Vizianagaram,General,Yuvajana Sramika Rythu Congress Party,YSRCP,BELLANA CHANDRASEKHAR,487691,6071,493762,2
2024,Andhra Pradesh,Vizianagaram,General,Indian National Congress,INC,BOBBILI SRINU,10270,353,10623,4
2024,Andhra Pradesh,Vizianagaram,General,Bahujan Samaj Party,BSP,PEERUBANDI PRAKASH RAO,7985,53,8038,5
2024,Andhra Pradesh,Vizianagaram,General,Independent,Indep,VELURI VENKATA TRINADHARAO,4146,6,4152,6
2024,Andhra Pradesh,Vizianagaram,General,Independent,Indep,ALLU SRIRAMULU,3396,5,3401,7
2024,Andhra Pradesh,Vizianagaram,General,Independent,Indep,SIYYADULA YELLA RAO,3105,2,3107,8
2024,Andhra Pradesh,Vizianagaram,General,Yuga Thulasi Party,YTP,SRINIVASA RAO SAMBHANA,1758,3,1761,9
2024,Andhra Pradesh,Vizianagaram,General,Independent,Indep,MARISERLA KRISHNAMURTHY NAIDU,1617,12,1629,10
2024,Andhra Pradesh,Vizianagaram,General,Naba Bharata Nirmana Seva Party,NBNSP,VANGAPANDU MAHESWARA RAO,1544,9,1553,11
2024,Andhra Pradesh,Vizianagaram,General,Jaibhim Rao Bharat Party,JRBP,CHINNAM ARUNA KUMAR,1401,10,1411,12
2024,Andhra Pradesh,Vizianagaram,General,Samajwadi Party,SP,ATCHIYYA NAIDU SAMIREDDY,1059,11,1070,13
2024,Andhra Pradesh,Vizianagaram,General,Independent,Indep,ADINARAYANA TADDI,855,1,856,14
2024,Andhra Pradesh,Vizianagaram,General,Independent,Indep,P V A ANANDA SAGAR,787,4,791,15
2024,Andhra Pradesh,Vizianagaram,General,Pyramid Party of India,PPI,SAKHINETI ANANTHA RAJU,715,10,725,16
2024,Andhra Pradesh,Vizianagaram,General,None of the Above,NOTA,NOTA,23097,153,23250,3
2024,Odisha,Mayurbhanj,Scheduled Tribe,AJSU Party,,ANTA ALOK BASKEY,5386,8,5394,10
2024,Andhra Pradesh,Visakhapatnam,General,Yuvajana Sramika Rythu Congress Party,YSRCP,JHANSI LAKSHMI. BOTCHA.,397821,5399,403220,2
2024,Andhra Pradesh,Visakhapatnam,General,Indian National Congress,INC,P. SATYA REDDY,29430,837,30267,3
2024,Andhra Pradesh,Visakhapatnam,General,Praja Shanthi Party,PSP,K.A. PAUL,7529,167,7696,4
2024,Andhra Pradesh,Visakhapatnam,General,Bahujan Samaj Party,BSP,PEDAPENKI SIVA PRASADA RAO,6006,85,6091,5
2024,Andhra Pradesh,Visakhapatnam,General,Navarang Congress Party,NCP,BIKKAVOLU. CHALAMAJI,4883,1,4884,7
2024,Andhra Pradesh,Visakhapatnam,General,Rashtriya Praja Congress (Secular),RPC-S,V.N. SATYA NARAYANA,2534,3,2537,8
2024,Andhra Pradesh,Visakhapatnam,General,Independent,Indep,ARUNA SRI MURALA,1991,2,1993,9
2024,Andhra Pradesh,Visakhapatnam,General,Independent,Indep,VASUPILLI SURESH,1931,2,1933,10
2024,Andhra Pradesh,Visakhapatnam,General,Independent,Indep,SONDI KRISHNA.,1811,7,1818,11
2024,Andhra Pradesh,Visakhapatnam,General,India Praja Bandhu Party,IPBP,ANDUKURI VIJAYA BHASKAR,1098,11,1109,12
2024,Andhra Pradesh,Visakhapatnam,General,Republican Party of India (A),RPI-A,DR. GANAPATHI KONGARAPU.,944,6,950,13
2024,Andhra Pradesh,Visakhapatnam,General,Dalita Bahujana Party,DBP,BANNA. RAMESH,941,7,948,14
2024,Andhra Pradesh,Visakhapatnam,General,Pyramid Party of India,PPI,P. SATYA VANI,875,7,882,15
2024,Andhra Pradesh,Visakhapatnam,General,Bhartiya Rashtriya Dal,BRD,DURGA PRASAD. GUNTU,760,7,767,16
2024,Andhra Pradesh,Visakhapatnam,General,Independent,Indep,CHAPPIDI RAMU,756,1,757,17
2024,Andhra Pradesh,Visakhapatnam,General,Independent,Indep,M.G.M. KHAN,738,4,742,18
2024,Andhra Pradesh,Visakhapatnam,General,Independent,Indep,SHANKAR DEVARA YADAV,656,5,661,19
2024,Andhra Pradesh,Visakhapatnam,General,Independent,Indep,VENU MADHAV KARRI,646,1,647,20
2024,Andhra Pradesh,Visakhapatnam,General,Bharatha Chaitanya Yuvajana Party,BCYP,DR. ACHUTHA BALAJI YADAV (MURAPALA),628,10,638,21
2024,Andhra Pradesh,Visakhapatnam,General,Praja Prasthanam Party,PPP,THOTA VENKATA SAI MUKUND,628,5,633,22
2024,Andhra Pradesh,Visakhapatnam,General,Independent,Indep,PIDIDHI APPARAO,576,4,580,23
2024,Andhra Pradesh,Visakhapatnam,General,Independent,Indep,G.A.N. ANAND,543,-,543,24
2024,Andhra Pradesh,Visakhapatnam,General,Independent,Indep,VADDI. HARI GANESH,518,2,520,25
2024,Andhra Pradesh,Visakhapatnam,General,Independent,Indep,JANARDHAN PONNADA.,499,1,500,26
2024,Andhra Pradesh,Visakhapatnam,General,Jai Maha Bharath Party,JMBP,GANAPATHI. JAGADEESWARA RAO (JAGADEESH),494,6,500,26
2024,Andhra Pradesh,Visakhapatnam,General,Samajwadi Party,SP,JALADI VIJAYA KUMARI,463,3,466,28
2024,Andhra Pradesh,Visakhapatnam,General,Naba Bharata Nirmana Seva Party,NBNSP,CHINTADA SURYAM,443,5,448,29
2024,Jharkhand,Jamshedpur,General,Amra Bangalee,,ANGAD MAHATO,4898,27,4925,9
2024,Andhra Pradesh,Visakhapatnam,General,Independent,Indep,KOLLI NAGA RAJU,322,7,329,31
2024,Andhra Pradesh,Visakhapatnam,General,Independent,Indep,METTA RAMA RAO,320,6,326,32
2024,Andhra Pradesh,Visakhapatnam,General,Independent,Indep,LAGUDU. GOVINDA RAO,293,1,294,33
2024,Andhra Pradesh,Visakhapatnam,General,Independent,Indep,MALLA SRAVANI,271,2,273,34
2024,Andhra Pradesh,Visakhapatnam,General,None of the Above,NOTA,NOTA,5171,142,5313,6
2024,Andhra Pradesh,Anakapalle,General,Bharatiya Janata Party,BJP,C.M.RAMESH,750027,12042,762069,1
2024,Andhra Pradesh,Anakapalle,General,Yuvajana Sramika Rythu Congress Party,YSRCP,BUDI MUTYALA NAIDU,459762,5777,465539,2
2024,Andhra Pradesh,Anakapalle,General,Indian National Congress,INC,VEGI VENKATESH,24833,818,25651,4
2024,Andhra Pradesh,Anakapalle,General,Bahujan Samaj Party,BSP,PALAKA SREERAMA MURTHY,19082,75,19157,5
2024,Andhra Pradesh,Anakapalle,General,Independent,Indep,VANKAYALA RAMACHANDRA RAO,4001,1,4002,6
2024,Andhra Pradesh,Anakapalle,General,Independent,Indep,LOVARAJU SIDDHA,3845,7,3852,7
2024,Andhra Pradesh,Anakapalle,General,Dalita Bahujana Party,DBP,KRISHNA SWAROOP VADLAMURI,3549,8,3557,8
2024,Andhra Pradesh,Anakapalle,General,Independent,Indep,GARA SURYA RAO,3116,8,3124,9
2024,Andhra Pradesh,Anakapalle,General,Bharatha Chaitanya Yuvajana Party,BCYP,APPALA RAJU NAMMI,2589,30,2619,10
2024,Andhra Pradesh,Anakapalle,General,Independent,Indep,NAGESWARA RAO PETLA,2179,5,2184,11
2024,Andhra Pradesh,Anakapalle,General,Jai Bharat National Party,JBNP,ADARI SARAT CHANDRA,1886,27,1913,12
2024,Andhra Pradesh,Anakapalle,General,Pyramid Party of India,PPI,VIJAYA LAKSHMI KARRI,1578,13,1591,13
2024,Andhra Pradesh,Anakapalle,General,Independent,Indep,DR. THUMMAPALA HARI SHANKAR,1567,9,1576,14
2024,Andhra Pradesh,Anakapalle,General,Independent,Indep,JUNNURI J SRINIVAS,1195,6,1201,15
2024,Andhra Pradesh,Anakapalle,General,Independent,Indep,APPALANAIDU TUMMAGUNTA,1055,7,1062,16
2024,Andhra Pradesh,Anakapalle,General,None of the Above,NOTA,NOTA,26084,151,26235,3
2024,Uttar Pradesh,Sultanpur,General,Azad Party,,GIRISH LAL,2305,6,2311,8
2024,Andhra Pradesh,Kakinada,General,Yuvajana Sramika Rythu Congress Party,YSRCP,CHALAMALASETTY SUNIL,495188,5020,500208,2
2024,Andhra Pradesh,Kakinada,General,Indian National Congress,INC,MALLIPUDI MANGAPATI PALLAM RAJU,20258,851,21109,3
2024,Andhra Pradesh,Kakinada,General,Navarang Congress Party,NCP,UDAY,15578,125,15703,5
2024,Andhra Pradesh,Kakinada,General,Bahujan Samaj Party,BSP,KANDREGULA NARASIMHAM,11916,63,11979,6
2024,Andhra Pradesh,Kakinada,General,Bharatha Chaitanya Yuvajana Party,BCYP,DR ANUSHA YADAV,9818,36,9854,7
2024,Andhra Pradesh,Kakinada,General,Jatiya Jana Sena Party,JJSP,TANGELLA SRINIVASU,6516,43,6559,8
2024,Andhra Pradesh,Kakinada,General,Republican Party of India (A),RPI-A,YEDIDA VARA PRASAD KUMAR,3924,3,3927,9
2024,Andhra Pradesh,Kakinada,General,Communist Party of India (Marxist-Leninist) (Liberation),CPIMLL,BUGATHA BANGARRAO,2816,7,2823,10
2024,Andhra Pradesh,Kakinada,General,Independent,Indep,SUDHA VEERA GANESH,2645,2,2647,11
2024,Andhra Pradesh,Kakinada,General,Independent,Indep,BHAVANI SANKAR PRASAD MERLA,1963,6,1969,12
2024,Andhra Pradesh,Kakinada,General,Jaibhim Rao Bharat Party,JRBP,YENUGUPALLI KRISHNA,1762,18,1780,13
2024,Andhra Pradesh,Kakinada,General,Independent,Indep,BODDETI APPARAO,1687,-,1687,14
2024,Andhra Pradesh,Kakinada,General,Independent,Indep,NEELAKANTAM DONAM,1401,11,1412,15
2024,Andhra Pradesh,Kakinada,General,Independent,Indep,PASUPULETI S.V.S.BHUSHANAM,1222,5,1227,16
2024,Andhra Pradesh,Kakinada,General,None of the Above,NOTA,NOTA,17105,115,17220,4
2024,Maharashtra,Latur,Scheduled Caste,Baliraja Party,,SHANKAR HARI TADAKHE,1126,2,1128,17
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Yuvajana Sramika Rythu Congress Party,YSRCP,RAPAKA VARAPRASADA RAO,450362,4423,454785,2
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Indian National Congress,INC,GOUTHAM JANGA,14523,559,15082,3
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Bahujan Samaj Party,BSP,DORABABU YALLA,5202,186,5388,5
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Telugu Nava Garjana Party,TNGP,KATRU NAGA BABU,3736,5,3741,6
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Independent,Indep,VADDI LALITH KUMAR,2974,3,2977,7
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Independent,Indep,MAKEY DAVY PRASAD,2104,7,2111,8
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Independent,Indep,GUDE VENKATESWARULU,1741,4,1745,9
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Jatiya Jana Sena Party,JJSP,RAMESH JILLELLA,866,6,872,10
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Jaibhim Rao Bharat Party,JRBP,YALANGI RAMESH,738,2,740,11
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Pyramid Party of India,PPI,MATHA KRISHNA,718,1,719,13
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Republican Party of India,0,GIDDI JNANA PRAKASA RAO,717,9,726,12
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Liberation Congress Party,LCP,YADLA RAJESH,628,7,635,14
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Republican Party of India (A),RPI-A,KAPA KALYAN,579,2,581,15
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Peoples Party of India (Democratic),PPI-D,PATHURI RAMESH,502,3,505,16
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,None of the Above,NOTA,NOTA,13418,100,13518,4
2024,Andhra Pradesh,Rajahmundry,General,Bharatiya Janata Party,BJP,DAGGUBATI PURANDHESHWARI,718641,7874,726515,1
2024,Andhra Pradesh,Rajahmundry,General,Yuvajana Sramika Rythu Congress Party,YSRCP,DR. GUDURI SRINIVAS,483172,4204,487376,2
2024,Andhra Pradesh,Rajahmundry,General,Indian National Congress,INC,GIDUGU RUDRARAJU,31441,1067,32508,3
2024,Andhra Pradesh,Rajahmundry,General,Bahujan Samaj Party,BSP,GANESWARA RAO PARAMATA,20277,132,20409,5
2024,Andhra Pradesh,Rajahmundry,General,Navarang Congress Party,NCP,BATTULA BALARAMAKRISHNA,16930,78,17008,6
2024,Andhra Pradesh,Rajahmundry,General,Independent,Indep,SALOPANTULA RAGHAVENDRA RAO,3261,17,3278,7
2024,Andhra Pradesh,Rajahmundry,General,Independent,Indep,DR. MEDISI RATNARAO ALIAS VINAY,3109,6,3115,8
2024,Andhra Pradesh,Rajahmundry,General,Jai Bharat National Party,JBNP,MOHANARAO SINGULURI,2818,15,2833,9
2024,Andhra Pradesh,Rajahmundry,General,Rashtriya Praja Congress (Secular),RPC-S,MEDA SRINIVASA RAO,2422,7,2429,10
2024,Andhra Pradesh,Rajahmundry,General,Independent,Indep,BOMMANABOINA VSR MURTHY,2173,6,2179,11
2024,Andhra Pradesh,Rajahmundry,General,Independent,Indep,BHANU CHANDAR KURUVELLA,1955,3,1958,12
2024,Andhra Pradesh,Rajahmundry,General,Independent,Indep,JALLI BALA NAVEENA,1250,4,1254,13
2024,Andhra Pradesh,Rajahmundry,General,None of the Above,NOTA,NOTA,24302,133,24435,4
2024,Andhra Pradesh,Narsapuram,General,Bharatiya Janata Party,BJP,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),699382,7961,707343,1
2024,Andhra Pradesh,Narsapuram,General,Yuvajana Sramika Rythu Congress Party,YSRCP,UMABALA GUDURI,426037,4504,430541,2
2024,Andhra Pradesh,Narsapuram,General,Indian National Congress,INC,K.B.R.NAIDU,34298,915,35213,3
2024,Andhra Pradesh,Narsapuram,General,Independent,Indep,PRASANNA KUMAR UNDURTHI,6350,14,6364,5
2024,Andhra Pradesh,Narsapuram,General,Independent,Indep,MEDAPATI VENKATA VARAHALA REDDY,5966,3,5969,7
2024,Andhra Pradesh,Narsapuram,General,Bahujan Samaj Party,BSP,SIRRA RAJU,5945,69,6014,6
2024,Andhra Pradesh,Narsapuram,General,Independent,Indep,BALAGAM NAYAKAR,5232,8,5240,8
2024,Andhra Pradesh,Narsapuram,General,Independent,Indep,NALLI RAJESH,4684,-,4684,9
2024,Andhra Pradesh,Narsapuram,General,Independent,Indep,KETHA SREENU,3140,5,3145,10
2024,Andhra Pradesh,Narsapuram,General,Jaibhim Rao Bharat Party,JRBP,OLETY NAGENDRA KRISHNA,3112,4,3116,11
2024,Andhra Pradesh,Narsapuram,General,Independent,Indep,ADDEPALLI VEERA VENKAT SUBBA RAO,2781,2,2783,12
2024,Andhra Pradesh,Narsapuram,General,Independent,Indep,ANAND CHANDULAL JASTI,2726,-,2726,13
2024,Andhra Pradesh,Narsapuram,General,Republican Party of India (A),RPI-A,GANJI PURNIMA,1645,4,1649,14
2024,Andhra Pradesh,Narsapuram,General,Independent,Indep,GEDALA LAXMANA RAO,1525,2,1527,15
2024,Andhra Pradesh,Narsapuram,General,Independent,Indep,ADDANKI DORABABU,1388,5,1393,16
2024,Andhra Pradesh,Narsapuram,General,Independent,Indep,GOTTUMUKKALA SHIVAJI,1378,6,1384,17
2024,Andhra Pradesh,Narsapuram,General,Independent,Indep,ADINARAYANA DUPPANAPUDI,1002,5,1007,18
2024,Andhra Pradesh,Narsapuram,General,Pyramid Party of India,PPI,MANNE LEELA RAMA NARENDRA,922,8,930,19
2024,Andhra Pradesh,Narsapuram,General,Independent,Indep,RAMA DURGA PRASAD THOLETI,919,1,920,20
2024,Andhra Pradesh,Narsapuram,General,Independent,Indep,RUKHMINI,683,3,686,21
2024,Andhra Pradesh,Narsapuram,General,Independent,Indep,ADABALA SIVA,682,1,683,22
2024,Andhra Pradesh,Narsapuram,General,None of the Above,NOTA,NOTA,7554,123,7677,4
2024,Maharashtra,Solapur,Scheduled Caste,Baliraja Party,,KUMAR CHANDRAKANT LONDHE,678,1,679,15
2024,Andhra Pradesh,Eluru,General,Yuvajana Sramika Rythu Congress Party,YSRCP,KARUMURI SUNIL KUMAR,559318,5176,564494,2
2024,Andhra Pradesh,Eluru,General,Indian National Congress,INC,KAVURI LAVANYA,19820,1006,20826,4
2024,Andhra Pradesh,Eluru,General,Navarang Congress Party,NCP,AJAY BABU BODA,12197,13,12210,5
2024,Andhra Pradesh,Eluru,General,Bahujan Samaj Party,BSP,NITTA AKHILA DHARANI PAL,6664,68,6732,6
2024,Andhra Pradesh,Eluru,General,Independent,Indep,BOKINALA KOTESWARA RAO,2253,10,2263,7
2024,Andhra Pradesh,Eluru,General,Andhra Rastra Praja Samithi,ARPS,RUDRAPAKA RATNA RAO (R.R.R),1523,3,1526,8
2024,Andhra Pradesh,Eluru,General,Independent,Indep,KANDAVALLI JEEVA DEVA DAYAKAR,1172,8,1180,9
2024,Andhra Pradesh,Eluru,General,Independent,Indep,AGASTEEN KOMMINA,1001,3,1004,10
2024,Andhra Pradesh,Eluru,General,Liberation Congress Party,LCP,DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU),777,9,786,11
2024,Andhra Pradesh,Eluru,General,Bharatheeya Jawan Kisan Party,BJKP,RAJESWARA RAO KONDRU,729,3,732,12
2024,Andhra Pradesh,Eluru,General,Pyramid Party of India,PPI,GODUGUPATI VEERA RAGHAVULU,710,5,715,13
2024,Andhra Pradesh,Eluru,General,Bharatha Chaitanya Yuvajana Party,BCYP,BYRABOYINA MALYADRI,705,10,715,13
2024,Andhra Pradesh,Eluru,General,None of the Above,NOTA,NOTA,22371,144,22515,3
2024,Maharashtra,Sangli,General,Baliraja Party,,ANAND SHANKAR NALAGE,3531,9,3540,11
2024,Andhra Pradesh,Machilipatnam,General,Yuvajana Sramika Rythu Congress Party,YSRCP,SIMHADRI CHANDRA SEKHAR RAO,495211,6049,501260,2
2024,Andhra Pradesh,Machilipatnam,General,Indian National Congress,INC,GOLLU KRISHNA,31130,695,31825,3
2024,Andhra Pradesh,Machilipatnam,General,Jatiya Jana Sena Party,JJSP,BAAL SHOURI CHODABATHINA,10518,623,11141,5
2024,Andhra Pradesh,Machilipatnam,General,Bahujan Samaj Party,BSP,DEVAMANI DEVARAPALLI,9911,117,10028,6
2024,Andhra Pradesh,Machilipatnam,General,All India Forward Bloc,AIFB,KOMMARAJU SIVA NARASIMHA RAO,5245,9,5254,7
2024,Andhra Pradesh,Machilipatnam,General,Independent,Indep,VALLABHANENI NAGA PAVAN KUMAR,5206,14,5220,8
2024,Andhra Pradesh,Machilipatnam,General,Jai Maha Bharath Party,JMBP,MARADANI K R SWAMY,2206,8,2214,9
2024,Andhra Pradesh,Machilipatnam,General,Independent,Indep,GANDHI DHANEKULA,1989,2,1991,10
2024,Andhra Pradesh,Machilipatnam,General,Independent,Indep,PAMULA BALA SOWRYAMMA,1576,6,1582,11
2024,Andhra Pradesh,Machilipatnam,General,Independent,Indep,ANUSHA YERUVA,1233,2,1235,12
2024,Andhra Pradesh,Machilipatnam,General,Independent,Indep,GUDAVALLI VENKATA KEDARESWARA RAO,1102,9,1111,13
2024,Andhra Pradesh,Machilipatnam,General,Independent,Indep,JOGI VEERANJANEYULU,1020,2,1022,14
2024,Andhra Pradesh,Machilipatnam,General,Independent,Indep,DAMODARA RAO GUDAVALLI,928,2,930,15
2024,Andhra Pradesh,Machilipatnam,General,Independent,Indep,APPARAO ENNETI,625,1,626,16
2024,Andhra Pradesh,Machilipatnam,General,None of the Above,NOTA,NOTA,12008,118,12126,4
2024,Maharashtra,Ramtek,Scheduled Caste,Baliraja Party,,SANVIDHAN G LOKHANDE,5810,4,5814,7
2024,Andhra Pradesh,Vijayawada,General,Yuvajana Sramika Rythu Congress Party,YSRCP,KESINENI SRINIVAS (NANI),505637,6432,512069,2
2024,Andhra Pradesh,Vijayawada,General,Indian National Congress,INC,BHARGAV VALLURU,23498,608,24106,3
2024,Maharashtra,Parbhani,General,Baliraja Party,,KAILAS BALIRAM PAWAR (NAIK),9487,33,9520,9
2024,Andhra Pradesh,Vijayawada,General,Independent,Indep,VENKATA ASHOK PAPPURI,6672,-,6672,6
2024,Andhra Pradesh,Vijayawada,General,Independent,Indep,DEVARAPALLI MALLIKARJUNA RAO (MAHESH),3199,-,3199,7
2024,Andhra Pradesh,Vijayawada,General,Bahujan Samaj Party,BSP,MEKA VENKATESWARA RAO,2184,49,2233,8
2024,Andhra Pradesh,Vijayawada,General,Independent,Indep,ANIL KUMAR MADDINENI,1240,-,1240,9
2024,Andhra Pradesh,Vijayawada,General,Telugu Rajadhikara Samiti Party,TRSP,BARRE SREENIVASARAO (JAI BHEEM SRINIVAS),609,6,615,10
2024,Andhra Pradesh,Vijayawada,General,Navarang Congress Party,NCP,SYED KHAMURUNNISA,600,1,601,11
2024,Andhra Pradesh,Vijayawada,General,Pyramid Party of India,PPI,CHAGANTIPATI GANGADHAR GANDHI,486,3,489,12
2024,Andhra Pradesh,Vijayawada,General,Jaibhim Rao Bharat Party,JRBP,DATLA LURTHU MERI,409,8,417,13
2024,Andhra Pradesh,Vijayawada,General,Republican Party of India (Athawale),RPI-A,PERAM SIVA NAGESWARA RAO,365,3,368,14
2024,Andhra Pradesh,Vijayawada,General,Andhra Rastra Praja Samithi,ARPS,DEVARASETTY RAVEENDRA BABU,328,3,331,15
2024,Andhra Pradesh,Vijayawada,General,Socialist Unity Centre Of India (COMMUNIST),SUCOI-COMMUNIST,GUJJULA LALITHA,323,4,327,16
2024,Andhra Pradesh,Vijayawada,General,All India Jaihind Party,AIJP,N DASARADHA RAMI REDDY,268,1,269,17
2024,Andhra Pradesh,Vijayawada,General,Jai Maha Bharath Party,JMBP,CHINTHALACHERUVU HEMALATHA,239,5,244,18
2024,Andhra Pradesh,Vijayawada,General,None of the Above,NOTA,NOTA,9038,155,9193,4
